City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Iqaluit,CA,63.7506,-68.5145,8.33,78,100,10.36,light snow
188,Vrangel,RU,42.7297,133.0839,44.98,85,65,8.79,broken clouds
189,Villavicencio,CO,4.142,-73.6266,72.01,94,56,2.95,broken clouds
190,Puerto Escondido,MX,15.85,-97.0667,85.03,58,0,3.44,clear sky
191,Avera,US,33.194,-82.5271,44.11,42,32,6.6,scattered clouds
192,Jalu,LY,29.0331,21.5482,64.96,30,0,12.26,clear sky
193,Chabahar,IR,25.2919,60.643,77.05,71,1,7.4,clear sky
194,Portland,US,45.5234,-122.6762,48.78,53,0,26.46,clear sky
195,Ahuimanu,US,21.4447,-157.8378,83.91,66,20,12.66,few clouds
196,Shakiso,ET,5.75,38.9167,53.71,80,21,3.98,few clouds
197,Itarema,BR,-2.9248,-39.9167,79.39,79,17,16.26,few clouds
198,Shingu,JP,33.7333,135.9833,59.0,56,8,3.87,clear sky
199,Sault Sainte Marie,CA,46.5168,-84.3333,26.89,63,20,3.44,few clouds
200,Ponta Delgada,PT,37.7333,-25.6667,59.5,72,20,6.91,few clouds
201,Kavaratti,IN,10.5669,72.642,81.81,69,9,8.21,clear sky
202,Spring Valley,US,36.108,-115.245,60.49,21,20,3.44,few clouds
203,Zhezkazgan,KZ,47.8043,67.7144,22.75,83,100,9.98,overcast clouds
204,Maragogi,BR,-9.0122,-35.2225,76.55,85,51,9.22,broken clouds
205,Kahului,US,20.8947,-156.47,87.82,71,20,19.57,few clouds
206,Ormond Beach,US,29.2858,-81.0559,58.01,69,0,8.05,clear sky
207,Omsukchan,RU,62.5333,155.8,-14.35,98,100,5.7,overcast clouds
208,Torbay,CA,47.6666,-52.7314,45.75,85,75,29.93,broken clouds
209,Newport,GB,51.5877,-2.9984,50.83,81,100,18.95,overcast clouds
210,Yershov,RU,51.3513,48.2766,34.74,94,100,16.35,overcast clouds
211,Athens,GR,37.9795,23.7162,66.33,86,20,3.0,few clouds
212,Stamford,US,41.0534,-73.5387,43.12,59,75,21.0,broken clouds
213,Griffith,US,41.5284,-87.4237,32.47,78,100,13.8,overcast clouds
214,Komsomolskiy,UZ,40.4272,71.7189,39.92,81,100,4.61,overcast clouds
215,Kungurtug,RU,50.5994,97.5228,-0.04,98,59,0.81,broken clouds
216,Seoul,KR,37.5683,126.9778,44.04,100,0,2.3,fog
217,Geraldton,AU,-28.7667,114.6,59.41,82,75,19.57,broken clouds
218,Narsaq,GL,60.9167,-46.05,21.42,91,100,2.33,light snow
219,Bilibino,RU,68.0546,166.4372,-24.81,100,98,1.12,overcast clouds
220,Cliza,BO,-17.6,-65.9333,75.09,58,24,6.22,few clouds
221,Kainantu,PG,-6.2887,145.8655,72.25,72,87,3.29,overcast clouds
222,Marovoay,MG,-16.1,46.6333,74.21,89,76,3.53,broken clouds
223,Prince Rupert,CA,54.3161,-130.3201,51.49,39,0,14.97,clear sky
224,Longyearbyen,SJ,78.2186,15.6401,24.64,80,75,8.05,broken clouds
225,Bardiyah,LY,31.7561,25.0865,65.98,38,0,19.24,clear sky
226,Grand Gaube,MU,-20.0064,57.6608,68.38,63,8,3.0,clear sky
227,Mokrousovo,RU,55.8103,66.7653,3.13,94,6,2.95,clear sky
228,Charala,CO,6.2858,-73.1472,66.74,97,89,2.13,overcast clouds
229,Tevaitoa,PF,-16.7833,-151.5,79.5,73,24,4.05,light rain
230,Hirado,JP,33.3597,129.5531,56.39,64,18,18.43,few clouds
231,Amarante Do Maranhao,BR,-5.5667,-46.7422,74.3,88,94,2.77,moderate rain
232,Wawa,NG,9.9022,4.4192,75.63,37,57,5.03,broken clouds
233,Pisco,PE,-13.7,-76.2167,66.25,77,0,18.41,clear sky
234,Nara,JP,34.6851,135.8049,50.5,64,0,1.43,clear sky
235,Nuuk,GL,64.1835,-51.7216,23.61,80,75,15.01,broken clouds
236,Orocue,CO,4.7912,-71.3354,76.66,88,95,3.24,overcast clouds
237,Cherskiy,RU,68.75,161.3,-20.16,100,100,7.0,overcast clouds
238,Misratah,LY,32.3754,15.0925,69.64,64,7,7.7,clear sky
239,Fairbanks,US,64.8378,-147.7164,14.09,87,0,0.0,clear sky
240,Ostrovnoy,RU,68.0531,39.5131,37.67,74,100,13.58,overcast clouds
241,Beringovskiy,RU,63.05,179.3167,24.91,92,98,1.95,overcast clouds
242,Emba,KZ,48.8264,58.1442,28.36,73,100,15.43,overcast clouds
243,Vestmanna,FO,62.1564,-7.1664,45.52,81,75,27.63,broken clouds
244,Jacareacanga,BR,-6.2222,-57.7528,79.14,76,100,2.82,light rain
245,Severo-Kurilsk,RU,50.6789,156.125,34.9,67,100,15.17,overcast clouds
246,Yellowknife,CA,62.456,-114.3525,16.32,73,75,9.22,broken clouds
247,Sechura,PE,-5.5569,-80.8222,66.43,77,89,15.39,overcast clouds
248,Yar-Sale,RU,66.8333,70.8333,15.8,82,92,23.09,overcast clouds
249,Ilulissat,GL,69.2167,-51.1,19.42,79,75,5.75,light snow
250,Samarinda,ID,-0.5,117.15,76.01,96,100,2.62,light rain
251,Cairns,AU,-16.9167,145.7667,91.11,58,13,4.61,few clouds
252,Puerto Ayacucho,VE,5.6639,-67.6236,74.97,92,100,3.18,overcast clouds
253,Anadyr,RU,64.75,177.4833,16.3,78,75,20.13,broken clouds
254,Bonavista,CA,48.6499,-53.1147,41.49,79,97,27.76,overcast clouds
255,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,86,100,6.91,overcast clouds
256,Kloulklubed,PW,7.0419,134.2556,79.3,78,97,14.41,overcast clouds
257,Victoria,HK,22.2855,114.1577,75.38,86,0,5.01,clear sky
258,Cidreira,BR,-30.1811,-50.2056,67.03,81,89,8.23,overcast clouds
259,Hami,CN,42.8,93.45,34.5,69,78,7.58,broken clouds
260,Tengzhou,CN,35.0771,117.1518,53.26,84,86,5.82,overcast clouds
261,Sonoita,MX,31.85,-112.8333,67.75,20,89,10.09,overcast clouds
262,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,78.93,36,0,9.17,clear sky
263,Bolshoye Nagatkino,RU,54.5196,47.9679,28.0,97,100,16.55,snow
264,Hamadan,IR,34.7992,48.5146,40.08,81,0,2.3,clear sky
265,Sorong,ID,-0.8833,131.25,81.25,82,100,4.56,overcast clouds
266,Borogontsy,RU,62.6683,131.1683,-13.0,95,100,5.95,overcast clouds
267,Phonhong,LA,18.5007,102.4166,72.45,91,21,1.39,few clouds
268,Progreso,MX,21.2833,-89.6667,79.11,80,97,17.56,overcast clouds
269,Chuy,UY,-33.6971,-53.4616,65.61,65,94,4.09,overcast clouds
270,Ust-Maya,RU,60.4167,134.5333,-16.74,97,88,2.57,overcast clouds
271,Iglas,IN,27.7167,77.9333,60.44,52,0,4.38,clear sky
272,Bitburg,DE,49.9667,6.5333,48.04,93,75,3.44,broken clouds
273,Clonakilty,IE,51.6231,-8.8706,45.61,76,14,15.59,few clouds
274,Andenes,NO,69.3143,16.1194,33.78,69,83,11.5,broken clouds
275,Plettenberg Bay,ZA,-34.0527,23.3716,57.33,82,100,2.98,overcast clouds
276,Cravo Norte,CO,6.3017,-70.2041,77.34,84,75,2.57,broken clouds
277,Milkovo,RU,54.7167,158.6167,11.48,83,8,2.28,clear sky
278,Pacific Grove,US,36.6177,-121.9166,64.89,71,0,5.75,clear sky
279,Tigil,RU,57.8,158.6667,20.86,91,96,10.69,overcast clouds
280,Vanimo,PG,-2.6741,141.3028,82.38,75,100,3.27,overcast clouds
281,Nhulunbuy,AU,-12.2333,136.7667,88.41,70,20,3.44,few clouds
282,Nome,US,64.5011,-165.4064,35.67,93,100,14.97,light rain
283,Kenai,US,60.5544,-151.2583,35.15,65,0,9.22,clear sky
284,Preobrazheniye,RU,42.9019,133.9064,44.47,83,78,4.5,broken clouds
285,Yelatma,RU,54.9675,41.7508,26.49,93,100,11.3,light snow
286,Kalmunai,LK,7.4167,81.8167,71.1,84,100,10.27,overcast clouds
287,Srednekolymsk,RU,67.45,153.6833,-22.16,95,88,11.48,overcast clouds
288,La Ronge,CA,55.1001,-105.2842,10.65,67,100,3.44,overcast clouds
289,Bengkulu,ID,-3.8004,102.2655,76.44,85,97,6.08,overcast clouds
290,Dali,CN,25.7,100.1833,42.51,69,0,1.86,clear sky
291,Houston,US,29.7633,-95.3633,58.24,50,100,5.75,overcast clouds
292,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,73,14,4.88,few clouds
293,Leningradskiy,RU,69.3833,178.4167,6.93,95,100,14.16,light snow
294,Luba,GQ,3.4568,8.5547,78.69,85,100,8.25,light rain
295,Kununurra,AU,-15.7667,128.7333,87.78,66,4,3.44,clear sky
296,Bloemfontein,ZA,-29.1211,26.214,56.68,72,4,0.0,clear sky
297,Sirohi,IN,24.8833,72.8667,61.7,32,0,4.34,clear sky
298,Tarrafal,CV,15.2833,-23.7667,77.79,76,50,8.95,scattered clouds
299,Kutum,SD,14.2,24.6667,60.69,31,1,6.67,clear sky
300,Westport,US,41.1415,-73.3579,43.32,55,75,12.66,broken clouds
301,Nioki,CD,-2.7167,17.6833,70.21,97,95,2.86,overcast clouds
302,Taiyuan,CN,37.8694,112.5603,40.86,70,100,4.47,overcast clouds
303,Awjilah,LY,29.1081,21.2869,65.05,30,0,12.75,clear sky
304,Hofn,IS,64.2539,-15.2082,46.18,94,99,13.6,overcast clouds
305,Norman Wells,CA,65.282,-126.8329,-0.36,85,40,3.44,scattered clouds
306,Goalpara,IN,26.1667,90.6167,62.22,88,0,4.09,clear sky
307,Hebi,CN,35.8992,114.1925,51.94,46,95,3.62,overcast clouds
308,Gravdal,NO,68.1214,13.5031,42.6,54,81,6.87,broken clouds
309,Listowel,IE,52.4464,-9.485,46.11,80,79,16.13,broken clouds
310,Lethem,GY,3.3803,-59.7968,82.06,65,91,4.52,overcast clouds
311,Urengoy,RU,65.9667,78.3667,10.58,93,100,23.71,light snow
312,Trapani,IT,37.8333,12.6667,64.49,88,40,10.36,scattered clouds
313,Louga,RU,58.7372,29.8453,24.42,88,87,7.07,overcast clouds
314,Amapa,BR,1.0,-52.0,76.77,68,100,3.49,overcast clouds
315,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,68,0,7.0,clear sky
316,Lusaka,ZM,-15.4067,28.2871,71.98,50,31,6.44,scattered clouds
317,Liverpool,GB,53.4106,-2.9779,49.95,94,75,11.5,broken clouds
318,Lata,PT,40.1629,-8.3327,58.82,94,92,3.24,overcast clouds
319,Nalut,LY,30.3333,10.85,62.29,43,15,9.4,few clouds
320,Murupara,NZ,-38.4667,176.7,61.66,87,100,6.85,light rain
321,Tautira,PF,-17.7333,-149.15,76.87,84,65,7.49,broken clouds
322,Salerno,IT,40.45,15.2667,53.67,87,33,4.18,scattered clouds
323,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.41,100,100,0.96,moderate rain
324,Chara,RU,56.9064,118.2631,7.5,75,43,2.42,scattered clouds
325,Taoudenni,ML,22.6783,-3.9836,73.36,15,0,9.08,clear sky
326,Qadirpur Ran,PK,30.2924,71.6712,57.09,33,1,5.84,clear sky
327,Kaseda,JP,31.4167,130.3167,62.62,83,100,12.86,overcast clouds
328,Rivera,UY,-30.9053,-55.5508,70.7,52,0,5.23,clear sky
329,Ouesso,CG,1.6136,16.0517,69.6,99,98,2.42,overcast clouds
330,Pundaguitan,PH,6.3711,126.1689,80.38,83,100,11.79,moderate rain
331,Puro,PH,12.4841,123.3827,76.69,92,100,8.14,overcast clouds
332,Nabire,ID,-3.3667,135.4833,77.14,92,100,2.35,overcast clouds
333,Haines Junction,CA,60.7522,-137.5108,10.35,85,37,1.14,scattered clouds
334,Port Blair,IN,11.6667,92.75,75.24,100,40,0.0,mist
335,Paamiut,GL,61.994,-49.6678,16.41,66,100,5.3,overcast clouds
336,Meadow Lake,US,34.8014,-106.5436,48.06,26,0,3.47,clear sky
337,Kattivakkam,IN,13.2167,80.3167,73.49,74,94,11.56,overcast clouds
338,Ginir,ET,7.1333,40.7,56.32,57,12,4.29,few clouds
339,Semey,KZ,50.4111,80.2275,21.97,71,34,4.0,scattered clouds
340,Antalaha,MG,-14.9003,50.2788,73.78,85,73,1.12,light rain
341,Sola,VU,-13.8833,167.55,82.09,72,10,11.16,clear sky
342,Helong,CN,42.5397,128.9972,39.15,60,8,8.63,clear sky
343,Hamilton,US,39.1834,-84.5333,31.44,71,100,9.22,overcast clouds
344,Domoni,KM,-12.2569,44.5319,76.01,88,56,5.26,light rain
345,Krasnoarmeysk,RU,51.0239,45.6969,40.17,99,100,8.84,overcast clouds
346,Ishigaki,JP,24.3448,124.1572,77.13,94,75,6.91,broken clouds
347,Sorland,NO,67.667,12.6934,44.46,54,51,10.02,broken clouds
