City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Piacabucu,BR,2022-11-16 22:01:40,-10.4056,-36.4344,77.45,84,58,10.18
97,Bethel,US,2022-11-16 22:01:40,41.3712,-73.414,45.48,73,82,4.0
98,Pueblo,US,2022-11-16 22:01:41,38.2545,-104.6091,46.09,22,0,5.01
99,Kathu,TH,2022-11-16 22:01:42,7.9178,98.3332,84.74,87,100,1.16
100,Jamestown,US,2022-11-16 22:00:36,42.097,-79.2353,35.02,68,100,8.99
101,Vao,NC,2022-11-16 22:01:42,-22.6667,167.4833,76.05,80,97,12.44
102,Kiama,AU,2022-11-16 22:01:43,-34.6833,150.8667,62.26,55,5,10.02
103,Bredasdorp,ZA,2022-11-16 22:01:43,-34.5322,20.0403,57.76,65,100,3.87
104,Kavieng,PG,2022-11-16 22:01:44,-2.5744,150.7967,83.01,70,100,9.06
105,Turukhansk,RU,2022-11-16 22:01:44,65.8167,87.9833,-36.6,100,85,0.49
106,Papetoai,PF,2022-11-16 22:01:44,-17.4961,-149.8729,81.99,78,40,8.23
107,Sampit,ID,2022-11-16 22:01:44,-2.5333,112.95,73.96,89,100,0.85
108,Suntar,RU,2022-11-16 22:01:45,62.1444,117.6319,3.7,98,99,2.62
109,Half Moon Bay,US,2022-11-16 22:01:11,37.4636,-122.4286,69.8,27,0,10.36
110,Abohar,IN,2022-11-16 22:01:45,30.15,74.1833,60.44,44,0,4.43
111,Cockburn Town,TC,2022-11-16 22:01:45,21.4612,-71.1419,82.04,75,5,16.46
112,Jalingo,NG,2022-11-16 22:01:46,8.8833,11.3667,78.37,34,98,2.42
113,New Norfolk,AU,2022-11-16 22:01:46,-42.7826,147.0587,52.92,64,99,1.99
114,Dikson,RU,2022-11-16 22:01:46,73.5069,80.5464,-3.68,99,100,10.09
115,Haines Junction,CA,2022-11-16 22:01:47,60.7522,-137.5108,22.8,88,99,1.43
116,Tanda,IN,2022-11-16 22:01:47,26.55,82.65,65.89,60,0,6.51
117,Sambava,MG,2022-11-16 22:01:47,-14.2667,50.1667,71.67,92,30,6.6
118,Banjar,ID,2022-11-16 22:01:47,-8.19,114.9675,78.6,85,100,3.11
119,Omsukchan,RU,2022-11-16 22:01:48,62.5333,155.8,-23.39,96,95,4.03
120,Tateyama,JP,2022-11-16 22:01:48,34.9833,139.8667,56.77,69,6,16.51
121,Dushanbe,TJ,2022-11-16 22:01:48,38.5577,68.7797,40.82,93,20,2.24
122,La Serena,CL,2022-11-16 22:01:48,-29.9078,-71.2542,64.6,77,26,5.32
123,Dzaoudzi,YT,2022-11-16 22:01:49,-12.7887,45.2699,76.89,83,40,4.61
124,Berbera,SO,2022-11-16 22:01:49,10.4396,45.0143,79.18,64,4,3.6
125,Marienburg,PL,2022-11-16 22:01:49,54.0359,19.0266,35.89,77,35,11.56
126,Eenhana,NA,2022-11-16 22:01:50,-17.4667,16.3333,82.94,35,94,10.4
127,Dapaong,TG,2022-11-16 22:01:50,10.8639,0.205,75.94,19,66,7.05
128,Guiuan,PH,2022-11-16 22:01:51,11.0333,125.7247,81.93,81,68,12.08
129,Boras,SE,2022-11-16 22:01:51,57.721,12.9401,38.82,66,100,11.21
130,Tahe,CN,2022-11-16 22:01:52,52.3333,124.7333,10.87,91,96,2.55
131,Marsa Matruh,EG,2022-11-16 22:01:52,31.3525,27.2453,66.02,67,1,8.52
132,Belogorsk,RU,2022-11-16 22:01:52,50.9158,128.4611,6.24,98,94,6.71
133,Ponta Do Sol,PT,2022-11-16 22:01:53,32.6667,-17.1,70.72,85,70,8.28
134,Bayji,IQ,2022-11-16 22:01:53,34.9311,43.487,60.33,81,93,7.67
135,Tiksi,RU,2022-11-16 22:01:53,71.6872,128.8694,-22.25,99,88,4.94
136,Provideniya,RU,2022-11-16 22:01:53,64.3833,-173.3,35.71,93,100,25.01
137,Cap Malheureux,MU,2022-11-16 22:01:54,-19.9842,57.6142,69.48,68,2,5.01
138,Cidreira,BR,2022-11-16 22:01:54,-30.1811,-50.2056,68.31,61,0,4.88
139,Kaeo,NZ,2022-11-16 22:02:54,-35.1,173.7833,68.32,96,66,9.86
140,Vila,PT,2022-11-16 22:02:54,42.0304,-8.1588,52.7,94,99,8.12
141,Ipixuna,BR,2022-11-16 22:02:55,-1.7625,-48.8043,77.9,86,88,4.03
142,Peace River,CA,2022-11-16 22:00:16,56.2501,-117.286,20.25,66,5,8.66
143,Grajau,BR,2022-11-16 22:02:55,-5.8194,-46.1386,81.72,61,66,3.22
144,Upernavik,GL,2022-11-16 22:02:55,72.7868,-56.1549,11.82,90,99,10.6
145,Tacna,PE,2022-11-16 22:02:55,-18.0056,-70.2483,63.73,70,83,6.04
146,Gwanda,ZW,2022-11-16 22:02:56,-20.9333,29.0,73.17,34,0,2.62
147,Araouane,ML,2022-11-16 22:02:56,18.9048,-3.5265,76.48,14,87,9.98
148,Cairns,AU,2022-11-16 22:02:56,-16.9167,145.7667,83.07,74,1,5.75
149,Iquitos,PE,2022-11-16 22:02:57,-3.7481,-73.2472,74.93,98,100,1.19
150,Dicabisagan,PH,2022-11-16 22:02:57,17.0818,122.4157,76.86,88,63,3.87
151,Erzin,TR,2022-11-16 22:02:57,36.9559,36.2,57.6,76,83,4.45
152,Okhotsk,RU,2022-11-16 22:02:57,59.3833,143.3,-5.1,79,9,15.1
153,Avarua,CK,2022-11-16 22:02:58,-21.2078,-159.775,78.85,65,37,17.27
154,Caravelas,BR,2022-11-16 22:02:58,-17.7125,-39.2481,74.62,93,100,6.33
155,Ngora,UG,2022-11-16 22:02:58,1.4314,33.7772,67.12,86,99,1.19
156,Souillac,MU,2022-11-16 22:02:58,-20.5167,57.5167,69.66,67,0,6.13
157,Kulhudhuffushi,MV,2022-11-16 22:02:59,6.6221,73.07,80.64,76,39,6.76
158,Mecca,SA,2022-11-16 21:59:00,21.4267,39.8261,78.42,70,51,2.62
159,Ancud,CL,2022-11-16 22:02:59,-41.8697,-73.8203,57.96,78,30,5.26
