City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Lamu,KE,75.42,overcast clouds,-2.2717,40.902,Lamu House
530,Puerto Quijarro,BO,76.75,clear sky,-17.7833,-57.7667,Hotel palance
534,Banda Aceh,ID,78.84,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
537,Ulladulla,AU,62.83,scattered clouds,-35.35,150.4667,Sandpiper Motel
540,Port Shepstone,ZA,68.77,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
542,Clarence Town,AU,70.14,clear sky,-32.5833,151.7833,River Downs Cottage
544,Teknaf,BD,67.41,clear sky,20.8624,92.3058,Forestry Guesthouse
547,Guanare,VE,68.02,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
548,Pochutla,MX,75.92,light rain,15.7432,-96.4661,Hotel Posada San Jose
550,Araouane,ML,70.48,overcast clouds,18.9048,-3.5265,
553,Vallenar,CL,75.04,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
557,Srandakan,ID,76.96,overcast clouds,-7.9386,110.2506,Puri Brata
558,Beira,MZ,71.69,clear sky,-19.8436,34.8389,Beira Terrace Hotel
561,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Pousada Camboinha
562,Mugumu,TZ,60.96,light rain,-1.85,34.7,Lemala Mara
565,Kanye,BW,72.23,broken clouds,-24.9667,25.3327,The Savanna Lodge
566,Inhambane,MZ,74.14,clear sky,-23.865,35.3833,Oceano
567,Abu Dhabi,AE,77.02,clear sky,24.4667,54.3667,Beach Rotana
568,Ritchie,ZA,61.81,clear sky,-29.038,24.6028,Riverside Country Club Modderrivier
569,Marawi,PH,72.68,heavy intensity rain,7.9986,124.2928,Derogongan Residence
571,Chicomuselo,MX,71.06,light rain,15.7667,-92.2667,En Chicomuselo
572,Takoradi,GH,78.3,broken clouds,4.8845,-1.7554,Raybow International Hotel
578,Juba,SS,73.51,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
588,Pocos De Caldas,BR,61.65,broken clouds,-21.7878,-46.5614,Hotel Nacional Inn Poços de Caldas
591,Porbandar,IN,75.94,clear sky,21.6422,69.6093,Lords Inn Porbandar
592,Mwense,ZM,65.86,few clouds,-10.3845,28.698,Mwense Council Guest House
595,Las Palmas,ES,66.99,broken clouds,28.4204,-14.0131,Casillas De Morales 59.
597,Awbari,LY,63.73,clear sky,26.5921,12.7805,استراحة الشارب العائلي
600,Sambava,MG,71.11,light rain,-14.2667,50.1667,Melrose
603,Barstow,US,62.17,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
604,Sur,OM,74.26,clear sky,22.5667,59.5289,Sur Plaza Hotel
605,Bambanglipuro,ID,76.84,overcast clouds,-7.95,110.2833,Puri Brata
606,Pietersburg,ZA,65.25,few clouds,-23.9045,29.4688,Fusion Boutique Hotel
608,Eyl,SO,74.88,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
609,Rawson,AR,67.48,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
611,Ca Mau,VN,77.7,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
612,Gladstone,AU,76.93,scattered clouds,-23.85,151.25,Highpoint International Hotel
613,Marsa Matruh,EG,62.8,clear sky,31.3525,27.2453,Beau Site
615,Tucuma,BR,78.98,overcast clouds,-0.1833,-50.05,
616,San Pedro De Ycuamandiyu,PY,71.62,clear sky,-24.0917,-57.0764,Hotel Refugio
619,Banfora,BF,72.21,scattered clouds,10.6333,-4.7667,Residences David Hebié
625,Tam Ky,VN,75.97,broken clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
628,Mogadishu,SO,79.05,clear sky,2.0371,45.3438,Hotel Juba
629,Tres Arroyos,AR,62.17,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
632,Luxor,EG,64.45,clear sky,25.6989,32.6421,Iberotel Luxor
633,Katsuura,JP,60.44,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
634,Qinzhou,CN,73.81,broken clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
635,Kabompo,ZM,62.33,clear sky,-13.5927,24.2008,Big Tree
637,Bilma,NE,68.02,few clouds,18.6853,12.9164,Expeditions Ténére voyages
638,Hit,IQ,62.26,clear sky,33.6416,42.8251,المعلق حسان رزاق
639,Karangasem,ID,77.04,moderate rain,-8.45,115.6167,Villa Campuhan
641,Atar,MR,74.86,clear sky,20.5169,-13.0499,Oumou Elghoura
647,Tanout,NE,69.44,broken clouds,14.9709,8.8879,
653,Tukrah,LY,66.81,clear sky,32.5341,20.5791,Lagrota restaurant
659,Luang Prabang,LA,68.34,scattered clouds,19.8856,102.1347,The Luang Say Residence
661,Punta Gorda,US,69.84,clear sky,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
664,Codrington,AU,61.21,clear sky,-38.2667,141.9667,
